,history,response,speaker,knowledge_base,dialogue_id,corrupted_response,corrupt_entity,original_entity,hallucination_tags,corrupt_relation,corrupt_history
17483,['What do you know about Demi Lovato ?'],She sung Give Your Heart a Break and Why Do n't You Love Me .   Have you heard of those songs ?,assistant,"{'paths': [['Demi Lovato', '~Lyricist', 'Give Your Heart a Break']], 'render': 'Demi Lovato : `~Lyricist`: Give Your Heart a Break'}",4424,she sung give your heart a break and why do n't you love me .   have you heard of those songs ?,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
2055,['I like Rob Marshall movies can you recommend any ?'],He directed the movie Nine which is a romance movie as well as Pirates of the Caribbean : On Stranger Tides .,assistant,"{'paths': [['Rob Marshall', '~directed_by', 'Nine'], ['Nine', 'has_genre', 'Drama']], 'render': 'Rob Marshall directed Nine. Nine has genre Drama'}",4696,he directed the movie bridget fonda which is a romance movie as well as pirates of the the miami dolphins : on 3 .,"['Bridget Fonda', 'The Miami Dolphins', '3']","['Nine', 'Caribbean', 'Stranger Tides']","['O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'U-HALLUC', 'O']",,
15936,"['I like Michael Berryman .   Can you make a recommendation ?', 'Michael Berryman starred in Weird Science and The Hills Have Eyes Part II', 'I heard of them .   Who else was in Weird Science ?', 'Robert Downey Jr. was also In Weird Science , and he starred in Two Girls and a Guy']",Is Two Girls and a Guy a Romance ?,user,"{'paths': [['Two Girls and a Guy', 'has_genre', 'Romantic comedy']], 'render': 'Two Girls and a Guy has genre Romantic comedy'}",4372,is two girls and a guy a romance ?,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
9238,"[""I 've become such a football fan over the years , I really like watching the games . How do you think the New York Jets are doing this season ?""]","They are in the AFC East , which is a tough division .   They 're a young team and they 're not doing too well .",assistant,"{'paths': [['New York Jets', '~Team', 'AFC East']], 'render': 'New York Jets : `~Team`: AFC East'}",5257,"they are in the new york jets , which is a tough division .   they 're a young team and they 're not doing too well .",['New York Jets'],['AFC East'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Division'],
8046,"['Hello , Can you tell me more Yann Martel ?', 'She wrote Life of Pi and Beatrice and Virgil .', 'When was the Life of Pi released ?', 'It was released in 2001 .']",I am interested in Beatrice and Virgil can you tell me some facts ?,user,"{'paths': [['Beatrice and Virgil', 'written_by', 'Yann Martel']], 'render': 'Beatrice and Virgil is written by Yann Martel'}",5094,i am interested in yann martel can you tell me some facts ?,['Yann Martel'],['Beatrice and Virgil'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['written_by'],
22229,['Could you recommend movies like Anchorman : The Legend of Ron Burgundy ?'],Are you interested in Will Ferrell or comedies ?,assistant,"{'paths': [['Anchorman: The Legend of Ron Burgundy', 'has_genre', 'Comedy']], 'render': 'Anchorman: The Legend of Ron Burgundy has genre Comedy'}",4425,are you interested in will ferrell or comedies ?,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[],
8439,['Do you like the movie Love Actually ?'],That 's one of my favorites !   I 'm a fan of anything with Liam Neeson .   Is it a movie you enjoy too ?,assistant,"{'paths': [['Love Actually', 'starred_actors', 'Liam Neeson']], 'render': 'Love Actually is starring Liam Neeson'}",5391,that 's one of my favorites !   i 'm a fan of anything with actor .   is it a movie you enjoy too ?,['Actor'],['Liam Neeson'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['is-a'],
9939,['Could you refresh my memory as to Anthony Burgess and what he did ?'],He 's an author who wrote A Clockwork Orange and The Improbable Adventures of Sherlock Holmes .,assistant,"{'paths': [['Anthony Burgess', '~written_by', 'The Improbable Adventures of Sherlock Holmes']], 'render': 'Anthony Burgess wrote The Improbable Adventures of Sherlock Holmes'}",6231,he 's an author who wrote a clockwork orange and anthony burgess .,['Anthony Burgess'],['The Improbable Adventures of Sherlock Holmes'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",['in_language'],
23652,['Could you recommend anything by Joseph Gordon - Levitt ?'],Sure . Joseph Gordon - Levitt starred in Looper alongside Bruce Willis .   Have you seen that one ?,assistant,"{'paths': [['Joseph Gordon-Levitt', '~starred_actors', 'Looper'], ['Looper', 'starred_actors', 'Bruce Willis']], 'render': 'Joseph Gordon-Levitt starred in Looper. Looper is starring Bruce Willis'}",4440,sure . joseph gordon - levitt starred in looper alongside bruce willis .   have you seen that one ?,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,['Could you recommend anything by Joseph Gordon - Levitt ?']
208,"['What do you think about Marcelo Vieira ?', ""Is n't he on the Brazil national football team ? I think he 's a midfielder ."", 'Yes he plays in the Fédération Internationale de Football Association . Are you a fan ?']",I 'm not really a fan of sports but it makes me think of the movie Remember the Titans . Have you seen it ?,assistant,"{'paths': [['Fédération Internationale de Football Association', 'Sport', 'Football'], ['Football', '~has_genre', 'Remember the Titans']], 'render': 'Fédération Internationale de Football Association : `Sport`: Football. Football has examples: Remember the Titans'}",4400,i 'm not really a fan of sports but it makes me think of the movie postmodernist . have you seen it ?,['postmodernist'],['Remember the Titans'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",['in_language'],"['What do you think about Marcelo Vieira ?', ""Is n't he on the Brazil national football team ? I think he 's a midfielder ."", 'yes he plays in the fédération internationale de football association . are you a fan ?']"
2626,"['I like Steven Soderbergh , can you give me some films he has directed']","Sure ! He directed The Good German , which was written by Joseph Kanon . Have you seen it ?",assistant,"{'paths': [['Steven Soderbergh', '~directed_by', 'The Good German'], ['The Good German', 'written_by', 'Joseph Kanon']], 'render': 'Steven Soderbergh directed The Good German. The Good German is written by Joseph Kanon'}",5632,"sure ! he directed the good glass , which was written by dominican . have you seen it ?","['Dominican', 'Glass']","['Joseph Kanon', 'German']","['O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",,
12546,['I have read a couple books by Abraham Verghese . I seems to the books . Could you recommend me more of Abraham Verghese books ?'],Absolutely . When Breath Becomes Air and Cutting for Stone are the most popular work of his . Have you read these two ?,assistant,"{'paths': [['Abraham Verghese', '~written_by', 'When Breath Becomes Air']], 'render': 'Abraham Verghese wrote When Breath Becomes Air'}",5224,absolutely . when one and cutting for stone are the most popular work of his . have you read these tom hanks ?,"['one', 'Tom Hanks']","['two', 'Breath Becomes Air']","['O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",['written_by'],['I have read a couple books by Abraham Verghese . I seems to the books . Could you recommend me more of Abraham Verghese books ?']
4069,"[""I like Gloria Foster , can you recommend something she 's acted in ?"", 'The Matrix Reloaded is a great film she was in .']","Yeah , Lawrence Fishburne was good in that , I 've allready seen it though .",user,"{'paths': [['The Matrix Reloaded (Thriller Film)', 'starred_actors', 'Laurence Fishburne']], 'render': 'The Matrix Reloaded (Thriller Film) is starring Laurence Fishburne'}",4575,"yeah , polish was good in that , i 've allready seen it though .",['Polish'],['Lawrence Fishburne'],"['O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
12678,"['could you recommend something by robert zemeckis ?', 'the quick and the dead wrote lewis hamilton . this film starred patriots . would you like to hear more about the movie ?', 'i like sally . what other family movies was memoir in ?']",I am afraid I do not have any Family movies that starred Tom Hanks . But you may want to check out Charlie and the Chocolate Factory . It starred Johnny Depp .,assistant,"{'paths': [['Family', '~has_genre', 'Charlie and the Chocolate Factory'], ['Charlie and the Chocolate Factory', 'starred_actors', 'Johnny Depp']], 'render': 'Family has examples: Charlie and the Chocolate Factory. Charlie and the Chocolate Factory is starring Johnny Depp'}",5460,i am afraid i do not have any family movies that starred the new york giants . but you may want to check out david peoples . it starred monsters university .,"['the New York Giants', 'David Peoples', 'Monsters University']","['Johnny Depp', 'Tom Hanks', 'Charlie and the Chocolate Factory']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",,"['could you recommend something by robert zemeckis ?', 'the quick and the dead wrote lewis hamilton . this film starred patriots . would you like to hear more about the movie ?', 'i like sally . what other family movies was memoir in ?']"
3126,['Do you have any recommendations of work by Frances Hodgson Burnett ?'],"Frances Hodgson Burnett wrote The Secret Garden and A Little Princess , What type of books do you like ?",assistant,"{'paths': [['Frances Hodgson Burnett', '~written_by', 'The Secret Garden']], 'render': 'Frances Hodgson Burnett wrote The Secret Garden'}",6381,"the perfect storm burnett wrote john travolta and umberto eco , what type of books do you like ?","['The Perfect Storm', 'Umberto Eco', 'John Travolta']","['A Little Princess', 'The Secret Garden', 'Frances Hodgson']","['B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
12520,"[""Do you know if Ocean 's Thirteen is as good as Ocean 's 12 ?""]","Absolutely . They kept the most of the cast from Oceans 12 and had them appear in Oceans Thirteen . They star George Clooney , Elliott Gould and Matt Damon . Do you like the series of movies ?",assistant,"{'paths': [[""Ocean's Thirteen"", 'starred_actors', 'George Clooney']], 'render': ""Ocean's Thirteen is starring George Clooney""}",5181,"absolutely . they kept the most of the cast from rosemary and had them appear in oceans rebecca . they star 3 , elliott gould and matt damon . do you like the series of movies ?","['Rebecca', 'Rosemary', '3']","['Oceans 12', 'Thirteen', 'George Clooney']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['starred_actors'],"[""Do you know if Ocean 's Thirteen is as good as Ocean 's 12 ?""]"
3498,['Do you know what movies Tom Hooper directed ?'],"Yes , he directed quite a few . My personal favorites are the King 's Speech , Les Miserables , and the Damned .",assistant,"{'paths': [['Tom Hooper', '~directed_by', ""The King's Speech""]], 'render': ""Tom Hooper directed The King's Speech""}",4255,"yes , he directed quite a few . my personal favorites are the king 's speech , a.i. artificial intelligence , and the german .","['A.I. Artificial Intelligence', 'German']","['Damned', 'Les Miserables']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'U-HALLUC', 'O']",,
13806,['I really like Douglas Adams .   Can you recommend something for me ?'],"He 's theg guy that wrote , The Ultimate Hitchhiker 's Guide : Five Complete Novels and One Story , am I right ?",assistant,"{'paths': [['Douglas Adams', '~written_by', ""The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story""]], 'render': ""Douglas Adams wrote The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story""}",4244,"he 's theg guy that wrote , the ultimate hitchhiker 's guide : five complete novels and one story , am i right ?",[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[],['I really like Douglas Adams .   Can you recommend something for me ?']
6420,['I like The Lord of the Rings : The Fellowship of the Ring . What other movies are similar ?'],"Other Fantasy movies similar are : The Time Machine , The Lovely Bones , and Lara Croft : Tomb Raider , to name a few .",assistant,"{'paths': [['The Lord of the Rings: The Fellowship of the Ring', 'has_genre', 'Fantasy']], 'render': 'The Lord of the Rings: The Fellowship of the Ring has genre Fantasy'}",5148,"other xi you ji zhi: sun wukong san da baigu jing movies similar are : the time machine , the lovely bones , and lara croft : tomb raider , to name a few .",['Xi you ji zhi: Sun Wukong san da Baigu Jing'],['Fantasy'],"['O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['has_genre'],
12349,['Do you know anything about the book La Sombra del viento ?'],It was written by Lucia Graves and released in 2001 . Would you like to read it ?,assistant,"{'paths': [['La sombra del viento', 'written_by', 'Lucia Graves']], 'render': 'La sombra del viento is written by Lucia Graves'}",4913,it was written by 1986 and released in charlotte stewart . would you like to read it ?,"['1986', 'Charlotte Stewart']","['Lucia Graves', '2001']","['O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['written_by'],['Do you know anything about the book La Sombra del viento ?']
7206,['Could you recommend any movies starring Jorja Fox ?'],"I really enjoy the movie Memento . He is also a TV star , but since you asked for movie recommendations , may I also suggest",assistant,"{'paths': [['Jorja Fox', '~starred_actors', 'Memento']], 'render': 'Jorja Fox starred in Memento'}",4477,"i really enjoy the movie memento mori (short story) . he is also a tv star , but since you asked for movie recommendations , may i also suggest",['Memento Mori (Short Story)'],['Memento'],"['O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Adapted From'],
4047,"['I like Fear and Loathing in Las Vegas . Have you seen it yet ?', 'Yes i have seen it before , it was written by Hunter S. Thompson . It also stared Michael Jeter .']",Johnny Depp was amazing in it . Was n't he ?,user,"{'paths': [['Hunter S. Thompson', '~written_by', 'Fear and Loathing in Las Vegas'], ['Fear and Loathing in Las Vegas', 'starred_actors', 'Johnny Depp']], 'render': 'Hunter S. Thompson wrote Fear and Loathing in Las Vegas. Fear and Loathing in Las Vegas is starring Johnny Depp'}",4561,english was amazing in it . was n't he ?,['English'],['Johnny Depp'],"['U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
11470,"[""Do you have any recommendations by Lauren Weisberger ? I know she 's a great author but I am unfamiliar with her work .""]","Sure ! Lauren Weisberger wrote The Devil Wears Prada , Last Night at Chateau Marmont , and Chasing Harry Winston . Have you heard of any of these ?",assistant,"{'paths': [['Lauren Weisberger', '~written_by', 'The Devil Wears Prada'], ['The Devil Wears Prada', 'starred_actors', 'Anne Hathaway']], 'render': 'Lauren Weisberger wrote The Devil Wears Prada. The Devil Wears Prada is starring Anne Hathaway'}",5125,"sure ! lauren weisberger wrote twentieth century fox film corp , last night at chateau marmont , and chasing harry winston . have you heard of any of these ?",['Twentieth Century Fox Film Corp'],['The Devil Wears Prada'],"['O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Adapted From'],"[""Do you have any recommendations by Lauren Weisberger ? I know she 's a great author but I am unfamiliar with her work .""]"
4094,"['Do you have any recommendations for books written by Dave McKean ?', 'I do . He wrote Wizard and Glass . Another good one is The Graveyard Book .', 'Tell me more about "" Wizard and Glass . "" I heard it also was cowritten by Stephen King ?']","Yes , I believe that is true . It was released in 1997 . Do you like Stephen King ?",assistant,"{'paths': [['Dave McKean', '~written_by', 'Wizard and Glass'], ['Wizard and Glass', 'written_by', 'Stephen King']], 'render': 'Dave McKean wrote Wizard and Glass. Wizard and Glass is written by Stephen King'}",4583,"yes , i believe that is true . it was released in 49ers . do you like german ?","['German', '49ers']","['Stephen King', '1997']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O']",,
1705,['Do you know the movie Transformer : Age of Extinction ?'],"Yes , Sophia Myles and Kelsey Grammer star in it . Are you interested in Sci - fi ?",assistant,"{'paths': [['Transformers: Age of Extinction', 'starred_actors', 'Sophia Myles']], 'render': 'Transformers: Age of Extinction is starring Sophia Myles'}",4207,"yes , earth and inferno star in it . are you interested in romance ?","['Inferno', 'Romance', 'Earth']","['Kelsey Grammer', 'Sci - fi', 'Sophia Myles']","['O', 'O', 'U-HALLUC', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O']",,
10391,"['  I like Batman v Superman : Dawn of Justice', 'Are you interested you interested in the sci - fi genre ?', '  Mostly Super hero movies like Batman v Superman : Dawn of Justice', 'Ok then you might also like Transformers and The Lost World : Jurassic Park', 'Could you recommend other movies by director Michael Bay', 'Yes Michael Bay directed Armageddon starring Ben Affleck and Owen Wilson .']","Yes , Armageddon has genre Sci - Fi",user,"{'paths': [['Armageddon', 'has_genre', 'Sci-Fi']], 'render': 'Armageddon has genre Sci-Fi'}",4351,"yes , michael bay has genre sci - fi",['Michael Bay'],['Armageddon'],"['O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O']",['has_genre'],"['  I like Batman v Superman : Dawn of Justice', 'Are you interested you interested in the sci - fi genre ?', '  Mostly Super hero movies like Batman v Superman : Dawn of Justice', 'Ok then you might also like Transformers and The Lost World : Jurassic Park', 'Could you recommend other movies by director Michael Bay', 'Yes Michael Bay directed Armageddon starring Ben Affleck and Owen Wilson .']"
12876,"[""i like damian lillard quite a bit but do n't care for his team , the portland trail blazers . do you enjoy basketball ?""]","Yes I do , Damian Lilliard is he from oakland ?",assistant,"{'paths': [['Damian Lillard', '~has_person', 'Oakland']], 'render': 'Damian Lillard : `~has_person`: Oakland'}",5769,"yes i do , teen is he from chris wedge ?","['Chris Wedge', 'Teen']","['oakland', 'Damian Lilliard']","['O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",['Sport Team Location'],"[""i like damian lillard quite a bit but do n't care for his team , the portland trail blazers . do you enjoy basketball ?""]"
15503,"['Of late , I have been hearing a lot about this movie , Once Upon a Time in the West   from my friends . Could you please give me some information on the Star Cast of the film ?', 'Sure . It staring with Woody Strode , Keenan Wynn , Jack Elam , Fabio Testi and many more .', 'What is the ethnicity of Sergio Leone ?', 'He is from Rome perhaps he is italian .', 'Really ? Thanks ! Could you please name a few of his popular films where he worked as a writer ?', 'yup , absolutely . He wrote The Good , the Bad and the Ugly , Once Upon a Time in America , and A Fistful of Dollars . Have you seen any of those ?', 'Yes , of course ! I have seen The Good , the Bad and the Ugly and A Fistful of Dollars . Great Western Action Movies they are . I loved the soundtracks . By the way besides being a writer , did he contribute his works in other film areas ?', 'Awesome . He is also a director , producer and he acts in some of his movies .', 'Seems to be multi - talented ! Who wrote besides Sergio Leone for The Good the Bad and the Ugly ?', 'Mickey Knox and Furio Scarpelli also wrote it .', ""ok , now coming back to Once Upon a Time in the West , can you let me know it 's genre ?""]",Yes of course . It 's a Action and Adventure film .,assistant,"{'paths': [['Once Upon a Time in the West', 'has_genre', 'Action Film']], 'render': 'Once Upon a Time in the West has genre Action Film'}",4285,yes of course . it 's a action and adventure film .,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
9120,"['do you like Chuck Russell ?', 'He directed The Mask . Have you seen that one ?']",Yes it is good . It stars   Reg E. Cathey . Do you like that actor ?,user,"{'paths': [['The Mask', 'starred_actors', 'Reg E. Cathey']], 'render': 'The Mask is starring Reg E. Cathey'}",5088,yes it is good . it stars   the mask . do you like that actor ?,['The Mask'],['Reg E. Cathey'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['starred_actors'],
22778,['Do you have any recommendations by the author of the Hotel on the Corner of Bitter and Sweet ?'],"Oh , the author 's name is Jamie Ford . He also wrote Songs of Willow Frost .",assistant,"{'paths': [['Hotel on the Corner of Bitter and Sweet', 'written_by', 'Jamie Ford'], ['Jamie Ford', '~written_by', 'Songs of Willow Frost']], 'render': 'Hotel on the Corner of Bitter and Sweet is written by Jamie Ford. Jamie Ford wrote Songs of Willow Frost'}",4233,"oh , the author 's name is jamie ford . he also wrote songs of willow frost .",,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,['Do you have any recommendations by the author of the Hotel on the Corner of Bitter and Sweet ?']
13400,"['Could you recommend movies related to Dawn of the Planet of the Apes ?', 'sure , dawn of the planet of the apes is considered sci - fi and some similar movies may include the incredible hulk and resident evil : extinction', 'I know that Stan Lee wrote and starred in The Incredible Hulk . Could you suggest something else he starred in ?']","Absolutely , Stan Lee actually made a cameo in most of the Marvel films including Iron Man 3 and Thor",assistant,"{'paths': [['Stan Lee', '~starred_actors', 'Iron Man 3'], ['Iron Man 3', 'starred_actors', 'James Badge Dale']], 'render': 'Stan Lee starred in Iron Man 3. Iron Man 3 is starring James Badge Dale'}",6554,"absolutely , the great gatsby actually made a cameo in most of the the city of ember films including jordan and house of night","['The City of Ember', 'House of Night', 'The Great Gatsby', 'Jordan']","['Marvel', 'Iron Man 3', 'Thor', 'Stan Lee']","['O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'U-HALLUC', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC']",['Sequel'],"['Could you recommend movies related to Dawn of the Planet of the Apes ?', 'sure , dawn of the planet of the apes is considered sci - fi and some similar movies may include the incredible hulk and resident evil : extinction', 'I know that Stan Lee wrote and starred in The Incredible Hulk . Could you suggest something else he starred in ?']"
10285,['Do you know The Hunger Games movie ? I know it is part of a series .'],"Yes , amazing .   It was written by Suzanne Collins , and stars Jennifer Lawrence .",assistant,"{'paths': [['The Hunger Games', 'written_by', 'Suzanne Collins']], 'render': 'The Hunger Games is written by Suzanne Collins'}",4279,"yes , amazing .   it was written by dorothy canfield fisher children's book award , and stars jennifer lawrence .","[""Dorothy Canfield Fisher Children's Book Award""]",['Suzanne Collins'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",['written_by'],['Do you know The Hunger Games movie ? I know it is part of a series .']
14061,"['I like the actor Jed Brophy .   Can you show me some of his movies ?', 'Yes he starred in District 9 , Heavenly Creatures , Tracker , and The Warriors way . Do you prefer any sort of genre ?', 'I like action movies and Westerns .   Tracker is a Western , right ?']",Yes Tracker is a Western so that might be perfect for you .,assistant,"{'paths': [['Western', '~has_genre', 'Tracker']], 'render': 'Western has examples: Tracker'}",4308,yes tracker is a western so that might be perfect for you .,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['release_year'],"['I like the actor Jed Brophy .   Can you show me some of his movies ?', 'Yes he starred in District 9 , Heavenly Creatures , Tracker , and The Warriors way . Do you prefer any sort of genre ?', 'i like action movies and westerns .   tracker is a western , right ?']"
1920,['Could you recommend films directed by Tom Hooper'],Tom Hooper directed The King 's Speech and The Damned United . Did you know he is a screenwriter and film producer ?,assistant,"{'paths': [['Tom Hooper', '~directed_by', ""The King's Speech""]], 'render': ""Tom Hooper directed The King's Speech""}",4509,martial arts directed the king 's speech and cyrus norwrasteh . did you know he is a screenwriter and film producer ?,"['Martial Arts', 'Cyrus Norwrasteh']","['The Damned United', 'Tom Hooper']","['B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
6812,"[""I 'm not a big fan of the Broncos .""]",I believe they 're a pretty good team . Not one of my favorites . John Fox coaches them and he 's good .,assistant,"{'paths': [['Denver Broncos', '~Team coached', 'John Fox']], 'render': 'Denver Broncos : `~Team coached`: John Fox'}",4211,i believe they 're a pretty good team . not one of my favorites . male coaches them and he 's good .,['Male'],['John Fox'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Gender'],
